SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Brazil,BRA,2011.0,1924536614863
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,China,CHN,2011.0,4730506608880
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,India,IND,2011.0,1517455280435
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Russian Federation,RUS,2011.0,1315985065724
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,South Africa,ZAF,2011.0,313684630781
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,2011.0,9743.772146
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,2011.0,3519.381763
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,2011.0,1213.683884
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,2011.0,9235.046631
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,2011.0,6031.912801
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,2011.0,11.58251532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,2011.0,26.56818828
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,2011.0,24.54040489
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,2011.0,28.05536148
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,2011.0,30.46094059
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,2011.0,303021879484
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,2011.0,2006296851391
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,2011.0,447383950836
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,2011.0,573991825010
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,2011.0,126845106113
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,2011.0,2296661602092
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,2011.0,6668544381953
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,2011.0,1763440111904
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,2011.0,1590489364644
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,2011.0,387676549661
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2011.0,3.974425406
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2011.0,9.55091409
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,2011.0,5.241344743
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,2011.0,4.300029186
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,2011.0,3.284168142
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,2011.0,11627.81065
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,2011.0,4961.234689
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,2011.0,1410.426305
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,2011.0,11125.34459
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,2011.0,7454.720165
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2011.0,3.026406873
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,2011.0,9.027255945
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,2011.0,3.893930345
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,2011.0,4.218725874
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,2011.0,1.720714283
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Brazil,BRA,2011.0,2237037657273
GNI (constant 2010 US$),NY.GNP.MKTP.KD,China,CHN,2011.0,6606508457095
GNI (constant 2010 US$),NY.GNP.MKTP.KD,India,IND,2011.0,1747959851704
GNI (constant 2010 US$),NY.GNP.MKTP.KD,Russian Federation,RUS,2011.0,1540953903534
GNI (constant 2010 US$),NY.GNP.MKTP.KD,South Africa,ZAF,2011.0,377610852550
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,2011.0,4.503259897
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,2011.0,8.998653132
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,2011.0,5.447408636
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,2011.0,4.272607223
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,2011.0,2.794488427
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Brazil,BRA,2011.0,11325.93947
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,China,CHN,2011.0,4915.081471
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,India,IND,2011.0,1398.044956
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,Russian Federation,RUS,2011.0,10778.84804
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,South Africa,ZAF,2011.0,7261.164596
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,2011.0,3.550419555
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,2011.0,8.477634818
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,2011.0,4.097355984
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,2011.0,4.191325287
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,2011.0,1.238447046
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,2011.0,12.35189532
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,2011.0,24.17271428
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,2011.0,31.08346055
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,2011.0,19.98003793
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,2011.0,29.65168931
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brazil,BRA,2011.0,323150406504
Imports of goods and services (current US$),NE.IMP.GNFS.CD,China,CHN,2011.0,1825402621469
Imports of goods and services (current US$),NE.IMP.GNFS.CD,India,IND,2011.0,566667153574
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Russian Federation,RUS,2011.0,408776712511
Imports of goods and services (current US$),NE.IMP.GNFS.CD,South Africa,ZAF,2011.0,123475231026
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,2011.0,87.12130079
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,2011.0,308.7263894
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,2011.0,89.33615126
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,2011.0,91.38226148
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,2011.0,41.10522986
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Brazil,BRA,2012.0,1972493746495
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,China,CHN,2012.0,5179313147833
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,India,IND,2012.0,1610004795850
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Russian Federation,RUS,2012.0,1371233891675
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,South Africa,ZAF,2012.0,319754901138
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,2012.0,9897.739525
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,2012.0,3834.554172
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,2012.0,1271.943977
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,2012.0,9585.29113
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,2012.0,6052.0663
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,2012.0,11.87755984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,2012.0,25.49252002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,2012.0,24.53443066
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,2012.0,26.90732034
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,2012.0,29.72387936
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,2012.0,292804259895
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,2012.0,2175080625680
Exports of goods and services (current US$),NE.EXP.GNFS.CD,India,IND,2012.0,448400543291
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,2012.0,594193217855
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,2012.0,117805454390
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,2012.0,2340783923772
GDP (constant 2010 US$),NY.GDP.MKTP.KD,China,CHN,2012.0,7192667129599
GDP (constant 2010 US$),NY.GDP.MKTP.KD,India,IND,2012.0,1859659734291
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,2012.0,1654492026998
GDP (constant 2010 US$),NY.GDP.MKTP.KD,South Africa,ZAF,2012.0,396257207215
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2012.0,1.921150318
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2012.0,7.859627493
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,2012.0,5.456358951
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,2012.0,4.024086157
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,2012.0,2.213354808
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,2012.0,11745.77593
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,2012.0,5325.160106
